timestamp,pos_cov_x,pos_cov_y,pos_cov_z,ori_cov_r,ori_cov_p,ori_cov_y
1763444616.175,4.24403,4.74919,5.61926,0.01034,0.02186,0.03263
1763444616.275,4.24354,4.74893,5.61926,0.01034,0.02186,0.03263
1763444616.375,4.24349,4.74891,5.61926,0.01034,0.02186,0.03263
1763444616.475,4.24351,4.74893,5.61928,0.01035,0.02185,0.03264
1763444616.575,4.24352,4.74895,5.61929,0.01035,0.02185,0.03264
1763444616.675,4.24353,4.74896,5.6193,0.01035,0.02185,0.03264
1763444616.775,4.24355,4.74897,5.61932,0.01035,0.02185,0.03264
1763444616.875,4.24357,4.74899,5.61933,0.01035,0.02185,0.03264
1763444616.975,4.2436,4.74902,5.61936,0.01037,0.02187,0.03268
1763444617.075,4.24362,4.74903,5.61937,0.01037,0.02187,0.03268
1763444617.175,4.24366,4.74907,5.6194,0.01037,0.02187,0.03265
1763444617.275,4.24368,4.74909,5.61941,0.01037,0.02187,0.03265
1763444617.375,4.24369,4.74911,5.61943,0.01037,0.02187,0.03265
1763444617.475,4.24371,4.74914,5.61945,0.01037,0.02187,0.03268
1763444617.575,4.24372,4.74916,5.61946,0.01037,0.02187,0.03268
1763444617.675,4.24373,4.74919,5.61947,0.01037,0.02187,0.03268
1763444617.775,4.24376,4.74921,5.61949,0.01037,0.02188,0.03265
1763444617.875,4.24378,4.74923,5.61951,0.01037,0.02188,0.03265
1763444617.975,4.24379,4.74924,5.61951,0.01037,0.02188,0.03265
1763444618.075,4.24381,4.74925,5.61953,0.01037,0.02188,0.03266
1763444618.175,4.24382,4.74927,5.61954,0.01037,0.02188,0.03266
1763444618.275,4.24383,4.74928,5.61955,0.01037,0.02188,0.03266
1763444618.375,4.24384,4.7493,5.61956,0.01036,0.02189,0.03265
1763444618.475,4.24386,4.74932,5.61958,0.01036,0.02189,0.03265
1763444618.575,4.24387,4.74934,5.61959,0.01037,0.02188,0.03267
1763444618.675,4.24388,4.74936,5.6196,0.01037,0.02188,0.03267
1763444618.775,4.24389,4.74937,5.61961,0.01037,0.02188,0.03267
1763444618.875,4.24389,4.74938,5.61962,0.01037,0.02189,0.03266
1763444618.975,4.24389,4.74939,5.61962,0.01037,0.02189,0.03266
1763444619.075,4.24389,4.7494,5.61963,0.01037,0.02189,0.03266
1763444619.175,4.2439,4.74941,5.61963,0.01037,0.0219,0.03267
1763444619.275,4.24391,4.74942,5.61964,0.01037,0.0219,0.03267
1763444619.375,4.24392,4.74944,5.61965,0.01037,0.0219,0.03267
