timestamp,pos_cov_x,pos_cov_y,pos_cov_z,ori_cov_r,ori_cov_p,ori_cov_y
1763444616.175,4.55524,4.11122,5.94602,0.02094,0.00885,0.03504
1763444616.275,4.55458,4.11122,5.94593,0.02094,0.00885,0.03504
1763444616.375,4.55453,4.11121,5.94592,0.02094,0.00885,0.03504
1763444616.475,4.55457,4.11121,5.94594,0.02094,0.00886,0.03504
1763444616.575,4.55461,4.11121,5.94595,0.02094,0.00886,0.03504
1763444616.675,4.55463,4.11121,5.94595,0.02094,0.00886,0.03504
1763444616.775,4.55467,4.11121,5.94596,0.02093,0.00886,0.03505
1763444616.875,4.55471,4.11121,5.94597,0.02093,0.00886,0.03505
1763444616.975,4.55476,4.11123,5.94599,0.02096,0.00889,0.03507
1763444617.075,4.55479,4.11123,5.946,0.02096,0.00889,0.03507
1763444617.175,4.55486,4.11124,5.94603,0.02095,0.00887,0.03507
1763444617.275,4.55489,4.11125,5.94604,0.02095,0.00887,0.03507
1763444617.375,4.55493,4.11125,5.94605,0.02095,0.00887,0.03507
1763444617.475,4.55499,4.11125,5.94607,0.02095,0.0089,0.03507
1763444617.575,4.55502,4.11124,5.94608,0.02095,0.0089,0.03507
1763444617.675,4.55507,4.11124,5.94609,0.02095,0.0089,0.03507
1763444617.775,4.55511,4.11124,5.94611,0.02095,0.00888,0.03507
1763444617.875,4.55516,4.11123,5.94612,0.02095,0.00888,0.03507
1763444617.975,4.55519,4.11123,5.94613,0.02095,0.00888,0.03507
1763444618.075,4.55523,4.11123,5.94614,0.02095,0.00888,0.03507
1763444618.175,4.55526,4.11122,5.94615,0.02095,0.00888,0.03507
1763444618.275,4.55528,4.11122,5.94615,0.02095,0.00888,0.03507
1763444618.375,4.55532,4.11122,5.94616,0.02095,0.00888,0.03507
1763444618.475,4.55537,4.11122,5.94617,0.02095,0.00888,0.03507
1763444618.575,4.55541,4.11122,5.94619,0.02094,0.0089,0.03507
1763444618.675,4.55543,4.11122,5.9462,0.02094,0.0089,0.03507
1763444618.775,4.55545,4.11122,5.9462,0.02094,0.0089,0.03507
1763444618.875,4.55546,4.11122,5.94621,0.02094,0.0089,0.03508
1763444618.975,4.55547,4.11122,5.94622,0.02094,0.0089,0.03508
1763444619.075,4.55548,4.11121,5.94622,0.02094,0.0089,0.03508
1763444619.175,4.5555,4.11121,5.94623,0.02094,0.00891,0.03508
1763444619.275,4.55553,4.11121,5.94623,0.02094,0.00891,0.03508
1763444619.375,4.55556,4.11121,5.94624,0.02094,0.00891,0.03509
1763444619.475,4.55558,4.11122,5.94625,0.02094,0.00891,0.03509
1763444619.575,4.5556,4.11122,5.94625,0.02094,0.00891,0.03509
1763444619.675,4.55564,4.11122,5.94627,0.02095,0.00893,0.03509
1763444619.775,4.55569,4.11122,5.94628,0.02095,0.00893,0.03509
1763444619.875,4.55576,4.11122,5.94629,0.02095,0.00893,0.03509
1763444619.975,4.55585,4.11122,5.94631,0.02096,0.00893,0.03511
1763444620.075,4.55594,4.11122,5.94633,0.02096,0.00893,0.03511
1763444620.175,4.556,4.11122,5.94633,0.02096,0.00893,0.03511
1763444620.275,4.55606,4.11121,5.94635,0.02097,0.00892,0.03512
1763444620.375,4.55609,4.11121,5.94635,0.02097,0.00892,0.03512
1763444620.475,4.55613,4.1112,5.94637,0.02096,0.00893,0.03512
1763444620.575,4.55615,4.1112,5.94637,0.02096,0.00893,0.03512
1763444620.675,4.5562,4.1112,5.94638,0.02096,0.00893,0.03512
1763444620.775,4.55631,4.1112,5.94641,0.02096,0.00895,0.03512
1763444620.875,4.55643,4.11121,5.94643,0.02096,0.00895,0.03512
1763444620.975,4.55658,4.11122,5.94647,0.02096,0.00895,0.03512
1763444621.075,4.55675,4.11124,5.94651,0.02097,0.00896,0.03513
1763444621.175,4.55691,4.11126,5.94654,0.02097,0.00896,0.03513
1763444621.275,4.55699,4.11127,5.94656,0.02097,0.00896,0.03513
1763444621.375,4.5571,4.11127,5.94658,0.02095,0.00891,0.03513
1763444621.475,4.55719,4.11126,5.94659,0.02095,0.00891,0.03513
1763444621.575,4.55724,4.11123,5.9466,0.02095,0.00891,0.03511
1763444621.675,4.55728,4.11122,5.9466,0.02095,0.00891,0.03511
1763444621.775,4.55732,4.1112,5.9466,0.02095,0.00891,0.03511
1763444621.875,4.55734,4.1112,5.94661,0.02095,0.0089,0.0351
1763444621.975,4.55733,4.11119,5.94662,0.02095,0.0089,0.0351
1763444622.075,4.55732,4.11119,5.94664,0.02095,0.00889,0.0351
1763444622.175,4.55731,4.11119,5.94664,0.02095,0.00889,0.0351
1763444622.275,4.55731,4.11119,5.94665,0.02095,0.00889,0.0351
1763444622.375,4.55734,4.11119,5.94666,0.02096,0.0089,0.03511
1763444622.475,4.55736,4.11119,5.94666,0.02096,0.0089,0.03511
1763444622.575,4.55739,4.11119,5.94667,0.02096,0.0089,0.03511
1763444622.675,4.55744,4.11119,5.94669,0.02096,0.0089,0.03512
1763444622.775,4.55748,4.11119,5.9467,0.02096,0.0089,0.03512
1763444622.875,4.55751,4.11119,5.94671,0.02096,0.0089,0.03512
1763444622.975,4.55758,4.11119,5.94673,0.02096,0.00892,0.03512
1763444623.075,4.55766,4.11119,5.94674,0.02096,0.00892,0.03512
1763444623.175,4.55778,4.11119,5.94676,0.02097,0.00891,0.03512
1763444623.275,4.55787,4.11119,5.94678,0.02097,0.00891,0.03512
1763444623.375,4.55797,4.11119,5.94679,0.02097,0.00891,0.03512
1763444623.475,4.55809,4.11119,5.94682,0.02098,0.00891,0.03514
1763444623.575,4.55817,4.11119,5.94683,0.02098,0.00891,0.03514
1763444623.675,4.55829,4.11119,5.94686,0.02098,0.00891,0.03514
1763444623.775,4.55836,4.11119,5.94689,0.02097,0.00892,0.03515
1763444623.875,4.55839,4.11119,5.9469,0.02097,0.00892,0.03515
1763444623.975,4.55839,4.11118,5.94691,0.02097,0.00892,0.03515
1763444624.075,4.55845,4.1112,5.94694,0.02101,0.00896,0.03516
1763444624.175,4.55852,4.11123,5.94697,0.02101,0.00896,0.03516
1763444624.275,4.5586,4.11124,5.947,0.02097,0.00893,0.03515
1763444624.375,4.55866,4.11125,5.94702,0.02097,0.00893,0.03515
1763444624.475,4.55869,4.11125,5.94703,0.02097,0.00893,0.03515
1763444624.575,4.55868,4.11123,5.94703,0.02097,0.00892,0.03515
1763444624.675,4.55869,4.11122,5.94703,0.02097,0.00892,0.03515
1763444624.775,4.55871,4.11121,5.94704,0.02097,0.00893,0.03515
1763444624.875,4.55873,4.11121,5.94705,0.02097,0.00893,0.03515
1763444624.975,4.55876,4.11121,5.94705,0.02097,0.00893,0.03515
1763444625.075,4.55879,4.11122,5.94707,0.02096,0.00892,0.03515
1763444625.175,4.55881,4.11122,5.94707,0.02096,0.00892,0.03515
1763444625.275,4.55885,4.11122,5.94708,0.02096,0.00892,0.03515
1763444625.375,4.55888,4.11123,5.94709,0.02096,0.00893,0.03515
1763444625.475,4.55891,4.11123,5.9471,0.02096,0.00893,0.03515
