relative_time_s,latency_ms
2.776622772216796875e-03,3.832490444183349609e+02
1.028125286102294922e-01,3.838665485382080078e+02
3.026692867279052734e-01,3.752717971801757812e+02
4.027397632598876953e-01,3.657357692718505859e+02
6.027832031250000000e-01,3.677833080291748047e+02
7.028234004974365234e-01,3.683636188507080078e+02
9.027030467987060547e-01,3.700025081634521484e+02
1.002807617187500000e+00,3.608088493347167969e+02
1.202779769897460938e+00,3.737123012542724609e+02
1.402783155441284180e+00,3.653001785278320312e+02
1.602720737457275391e+00,3.669326305389404297e+02
1.702748537063598633e+00,3.676264286041259766e+02
1.802778720855712891e+00,3.700249195098876953e+02
1.902867078781127930e+00,3.706974983215332031e+02
2.102691650390625000e+00,3.539154529571533203e+02
2.202775716781616211e+00,3.659944534301757812e+02
2.302796125411987305e+00,3.668587207794189453e+02
2.502708196640014648e+00,3.683495521545410156e+02
2.602714300155639648e+00,3.689706325531005859e+02
2.802801132202148438e+00,3.704216480255126953e+02
2.902881383895874023e+00,3.712668418884277344e+02
3.102825403213500977e+00,3.626811504364013672e+02
3.302699565887451172e+00,3.576583862304687500e+02
3.402822494506835938e+00,3.682649135589599609e+02
3.602775096893310547e+00,3.612558841705322266e+02
3.702839851379394531e+00,3.719007968902587891e+02
3.902788877487182617e+00,3.639647960662841797e+02
4.102822780609130859e+00,3.674893379211425781e+02
4.202850580215454102e+00,3.585398197174072266e+02
4.402795553207397461e+00,3.699789047241210938e+02
4.602869749069213867e+00,3.714401721954345703e+02
4.802865266799926758e+00,3.639342784881591797e+02
5.002796173095703125e+00,3.655023574829101562e+02
5.202770233154296875e+00,3.670554161071777344e+02
5.402760028839111328e+00,3.684325218200683594e+02
5.502809286117553711e+00,3.791508674621582031e+02
5.702804803848266602e+00,3.627598285675048828e+02
5.902739286422729492e+00,3.751888275146484375e+02
6.102763175964355469e+00,3.564975261688232422e+02
6.302717208862304688e+00,3.685626983642578125e+02
6.402787208557128906e+00,3.691678047180175781e+02
6.602852821350097656e+00,3.705058097839355469e+02
6.802909135818481445e+00,3.719818592071533203e+02
7.002774953842163086e+00,3.733835220336914062e+02
7.202605247497558594e+00,3.652544021606445312e+02
7.302839040756225586e+00,3.758757114410400391e+02
7.502841472625732422e+00,3.773813247680664062e+02
7.702868223190307617e+00,3.689773082733154297e+02
7.902840137481689453e+00,3.704671859741210938e+02
8.102711677551269531e+00,3.821482658386230469e+02
8.202829360961914062e+00,3.627662658691406250e+02
8.402827978134155273e+00,3.640615940093994141e+02
8.602700710296630859e+00,3.766016960144042969e+02
8.702753543853759766e+00,3.691737651824951172e+02
8.802782058715820312e+00,3.698606491088867188e+02
9.002724885940551758e+00,3.714284896850585938e+02
9.102751731872558594e+00,3.721694946289062500e+02
9.302836179733276367e+00,3.734524250030517578e+02
9.502837896347045898e+00,3.751935958862304688e+02
9.702815055847167969e+00,3.665807247161865234e+02
9.802869796752929688e+00,3.677594661712646484e+02
1.000281429290771484e+01,3.692629337310791016e+02
1.020288586616516113e+01,3.708403110504150391e+02
1.040280508995056152e+01,3.724641799926757812e+02
1.050283455848693848e+01,3.730964660644531250e+02
1.060288739204406738e+01,3.635783195495605469e+02
1.080293869972229004e+01,3.751990795135498047e+02
1.100284767150878906e+01,3.678789138793945312e+02
1.120274257659912109e+01,3.595395088195800781e+02
1.140283894538879395e+01,3.741245269775390625e+02
1.160278272628784180e+01,3.757491111755371094e+02
1.170280694961547852e+01,3.764512538909912109e+02
1.190261983871459961e+01,3.679845333099365234e+02
1.200282835960388184e+01,3.684301376342773438e+02
1.210287761688232422e+01,3.791508674621582031e+02
1.230290055274963379e+01,3.704974651336669922e+02
1.250261712074279785e+01,3.762228488922119141e+02
1.260270929336547852e+01,3.767809867858886719e+02
1.270285964012145996e+01,3.671770095825195312e+02
1.290280175209045410e+01,3.712720870971679688e+02
1.310271310806274414e+01,3.638894557952880859e+02
1.330279469490051270e+01,3.655953407287597656e+02
1.340280771255493164e+01,3.664002418518066406e+02
1.350294995307922363e+01,3.875970840454101562e+02
1.370278120040893555e+01,3.698439598083496094e+02
1.390280604362487793e+01,3.710613250732421875e+02
1.410278677940368652e+01,3.725388050079345703e+02
1.420282530784606934e+01,3.651463985443115234e+02
1.440284395217895508e+01,3.765716552734375000e+02
