time,x,y,z
1.763444732182431221e+09,1.159622097015380859e+01,5.417186737060546875e+00,2.096956074237823486e-01
1.763444732282528162e+09,1.160730266571044922e+01,5.491575241088867188e+00,2.085435092449188232e-01
1.763444732482518435e+09,1.162104797363281250e+01,5.655747890472412109e+00,2.021699398756027222e-01
1.763444732582584381e+09,1.164368438720703125e+01,5.740116596221923828e+00,2.029328942298889160e-01
1.763444732782493591e+09,1.166544437408447266e+01,5.914546966552734375e+00,1.987171024084091187e-01
1.763444732982469559e+09,1.169449520111083984e+01,6.079948425292968750e+00,1.999882459640502930e-01
1.763444733182483196e+09,1.171822547912597656e+01,6.233305454254150391e+00,1.999340504407882690e-01
1.763444733282497644e+09,1.172462654113769531e+01,6.317252159118652344e+00,1.998046040534973145e-01
1.763444733482479811e+09,1.173713874816894531e+01,6.481152534484863281e+00,1.948105096817016602e-01
1.763444733582532883e+09,1.173825836181640625e+01,6.565742015838623047e+00,1.908046603202819824e-01
1.763444733782516479e+09,1.175745773315429688e+01,6.729948520660400391e+00,1.874955743551254272e-01
1.763444733882557631e+09,1.176847743988037109e+01,6.818271160125732422e+00,1.916954219341278076e-01
1.763444734082440615e+09,1.177890777587890625e+01,6.996521472930908203e+00,1.892412304878234863e-01
1.763444734182582378e+09,1.178004074096679688e+01,7.063317298889160156e+00,1.862023174762725830e-01
1.763444734382472992e+09,1.180132961273193359e+01,7.222913265228271484e+00,1.835178136825561523e-01
1.763444734482555151e+09,1.180520915985107422e+01,7.300669193267822266e+00,1.821947693824768066e-01
1.763444734682539225e+09,1.182149410247802734e+01,7.475511074066162109e+00,1.868514269590377808e-01
1.763444734882497549e+09,1.178618240356445312e+01,7.696273803710937500e+00,1.736595928668975830e-01
1.763444735082440615e+09,1.180319309234619141e+01,7.866709232330322266e+00,1.922545433044433594e-01
1.763444735282492876e+09,1.181220817565917969e+01,8.033419609069824219e+00,1.785508543252944946e-01
1.763444735382545710e+09,1.182271194458007812e+01,8.120427131652832031e+00,1.849950402975082397e-01
1.763444735582645178e+09,1.184375572204589844e+01,8.280620574951171875e+00,1.782703250646591187e-01
1.763444735782509327e+09,1.185788536071777344e+01,8.424942970275878906e+00,1.771383434534072876e-01
1.763444735982352495e+09,1.187484455108642578e+01,8.601119041442871094e+00,1.758670359849929810e-01
1.763444736082426071e+09,1.188454151153564453e+01,8.679738044738769531e+00,1.836960166692733765e-01
1.763444736182530165e+09,1.190187835693359375e+01,8.759849548339843750e+00,1.719208508729934692e-01
1.763444736382500410e+09,1.192130851745605469e+01,8.917099952697753906e+00,1.772527992725372314e-01
1.763444736582540989e+09,1.193213558197021484e+01,9.075431823730468750e+00,1.783344000577926636e-01
1.763444736782485247e+09,1.195521450042724609e+01,9.236090660095214844e+00,1.612401604652404785e-01
1.763444736882516384e+09,1.196743488311767578e+01,9.319573402404785156e+00,1.722120642662048340e-01
1.763444736982548237e+09,1.198293685913085938e+01,9.391497611999511719e+00,1.765225976705551147e-01
1.763444737082608700e+09,1.198499488830566406e+01,9.484465599060058594e+00,1.743561029434204102e-01
1.763444737282498121e+09,1.199369144439697266e+01,9.641465187072753906e+00,1.727234423160552979e-01
1.763444737482542276e+09,1.201456069946289062e+01,9.801976203918457031e+00,1.628617644309997559e-01
1.763444737682505131e+09,1.203300476074218750e+01,9.955822944641113281e+00,1.651050746440887451e-01
1.763444737882507563e+09,1.205049228668212891e+01,1.011812973022460938e+01,1.674532741308212280e-01
1.763444738082569838e+09,1.207246589660644531e+01,1.026955699920654297e+01,1.667814105749130249e-01
1.763444738282433510e+09,1.209478378295898438e+01,1.043365955352783203e+01,1.707598119974136353e-01
1.763444738382482290e+09,1.210883998870849609e+01,1.051587390899658203e+01,1.647080928087234497e-01
1.763444738482540607e+09,1.212290000915527344e+01,1.059629726409912109e+01,1.690603196620941162e-01
1.763444738682526112e+09,1.215176773071289062e+01,1.074935626983642578e+01,1.705382913351058960e-01
1.763444738782556057e+09,1.217580604553222656e+01,1.082446956634521484e+01,1.656868606805801392e-01
1.763444738982538939e+09,1.219908905029296875e+01,1.099741363525390625e+01,1.625143587589263916e-01
1.763444739182478905e+09,1.222783851623535156e+01,1.116845893859863281e+01,1.674521714448928833e-01
1.763444739382391691e+09,1.226166629791259766e+01,1.132216262817382812e+01,1.671285629272460938e-01
1.763444739482454777e+09,1.227190399169921875e+01,1.140518665313720703e+01,1.696853637695312500e-01
1.763444739682542562e+09,1.229064464569091797e+01,1.156073284149169922e+01,1.632305383682250977e-01
1.763444739782575846e+09,1.230118465423583984e+01,1.164228248596191406e+01,1.616532355546951294e-01
1.763444739982446194e+09,1.233937835693359375e+01,1.180747890472412109e+01,1.597029715776443481e-01
1.763444740082494497e+09,1.234954357147216797e+01,1.188767337799072266e+01,1.584470123052597046e-01
1.763444740182584763e+09,1.235364055633544922e+01,1.196498489379882812e+01,1.590798348188400269e-01
1.763444740382508755e+09,1.237763118743896484e+01,1.213707733154296875e+01,1.605147421360015869e-01
1.763444740482527971e+09,1.237884140014648438e+01,1.220573902130126953e+01,1.681569963693618774e-01
1.763444740682508469e+09,1.240158653259277344e+01,1.235924339294433594e+01,1.596174687147140503e-01
1.763444740782601357e+09,1.240252399444580078e+01,1.242912101745605469e+01,1.577423959970474243e-01
1.763444740982489109e+09,1.240368938446044922e+01,1.259300136566162109e+01,1.521986126899719238e-01
1.763444741082547665e+09,1.240763664245605469e+01,1.267271614074707031e+01,1.573055684566497803e-01
1.763444741282447100e+09,1.238237762451171875e+01,1.284373760223388672e+01,1.400474011898040771e-01
1.763444741382449150e+09,1.239431667327880859e+01,1.292919731140136719e+01,1.444360613822937012e-01
1.763444741482505798e+09,1.240107536315917969e+01,1.300982284545898438e+01,1.313089281320571899e-01
1.763444741582567930e+09,1.239297485351562500e+01,1.309015560150146484e+01,1.363401859998703003e-01
1.763444741782578945e+09,1.242782592773437500e+01,1.324595928192138672e+01,1.244240850210189819e-01
1.763444741982461214e+09,1.244042873382568359e+01,1.341739368438720703e+01,1.265992522239685059e-01
1.763444742082463264e+09,1.246244525909423828e+01,1.350261020660400391e+01,1.146565079689025879e-01
1.763444742182567835e+09,1.246379756927490234e+01,1.358460330963134766e+01,1.187753528356552124e-01
1.763444742382467747e+09,1.250496673583984375e+01,1.373454761505126953e+01,1.020812764763832092e-01
1.763444742482496500e+09,1.251283073425292969e+01,1.383868789672851562e+01,1.189463362097740173e-01
1.763444742682593822e+09,1.252850151062011719e+01,1.399812507629394531e+01,1.141840070486068726e-01
1.763444742882348537e+09,1.254012966156005859e+01,1.415804576873779297e+01,1.123320311307907104e-01
1.763444742982589245e+09,1.255449962615966797e+01,1.421996116638183594e+01,1.071171760559082031e-01
1.763444743182501554e+09,1.256959819793701172e+01,1.437002086639404297e+01,1.000629737973213196e-01
1.763444743382518291e+09,1.258575344085693359e+01,1.453660011291503906e+01,9.424515813589096069e-02
1.763444743482525587e+09,1.260367584228515625e+01,1.462234115600585938e+01,1.050295606255531311e-01
1.763444743682607412e+09,1.261770534515380859e+01,1.477506160736083984e+01,9.548930823802947998e-02
1.763444743882529974e+09,1.264281654357910156e+01,1.492633819580078125e+01,8.752994984388351440e-02
1.763444743982586622e+09,1.264480018615722656e+01,1.500634670257568359e+01,9.254557639360427856e-02
1.763444744182515144e+09,1.266460514068603516e+01,1.515654945373535156e+01,8.156095445156097412e-02
1.763444744382580996e+09,1.270631790161132812e+01,1.532095623016357422e+01,7.898131757974624634e-02
1.763444744582498074e+09,1.273011112213134766e+01,1.547262191772460938e+01,8.170858025550842285e-02
1.763444744782449007e+09,1.276224422454833984e+01,1.561130523681640625e+01,8.350893110036849976e-02
1.763444744882472038e+09,1.275923061370849609e+01,1.567333507537841797e+01,7.775168120861053467e-02
1.763444744982520103e+09,1.279160308837890625e+01,1.574094486236572266e+01,6.769665330648422241e-02
1.763444745182501316e+09,1.281583499908447266e+01,1.584893512725830078e+01,5.939374119043350220e-02
1.763444745382588863e+09,1.283507823944091797e+01,1.589689064025878906e+01,4.030797258019447327e-02
1.763444745582587481e+09,1.283909988403320312e+01,1.596076011657714844e+01,3.560936078429222107e-02
1.763444745782579899e+09,1.285978984832763672e+01,1.596758079528808594e+01,3.826186805963516235e-02
1.763444745982584238e+09,1.285459232330322266e+01,1.597257804870605469e+01,3.693814203143119812e-02
1.763444746182548046e+09,1.285948371887207031e+01,1.597015380859375000e+01,4.032196104526519775e-02
1.763444746282581568e+09,1.286412525177001953e+01,1.596249771118164062e+01,4.083639383316040039e-02
1.763444746482451677e+09,1.286655426025390625e+01,1.593985652923583984e+01,3.832169249653816223e-02
1.763444746582567215e+09,1.287032413482666016e+01,1.594359493255615234e+01,4.287865757942199707e-02
1.763444746782426596e+09,1.286795425415039062e+01,1.590843391418457031e+01,4.476670920848846436e-02
1.763444746882462025e+09,1.285734844207763672e+01,1.589082050323486328e+01,3.941750153899192810e-02
1.763444746982523441e+09,1.285984802246093750e+01,1.587886428833007812e+01,4.376040771603584290e-02
1.763444747082529068e+09,1.286295223236083984e+01,1.586132049560546875e+01,4.536057263612747192e-02
1.763444747182534695e+09,1.286671257019042969e+01,1.585943031311035156e+01,4.490656405687332153e-02
1.763444747382484674e+09,1.285672092437744141e+01,1.583577346801757812e+01,5.416421964764595032e-02
1.763444747582650661e+09,1.284350681304931641e+01,1.579648399353027344e+01,4.869723692536354065e-02
1.763444747782600880e+09,1.285731220245361328e+01,1.575341320037841797e+01,4.112055525183677673e-02
1.763444747982524633e+09,1.283878612518310547e+01,1.573943901062011719e+01,4.771398752927780151e-02
1.763444748082557678e+09,1.284692001342773438e+01,1.572303771972656250e+01,5.811751633882522583e-02
1.763444748282606363e+09,1.282759284973144531e+01,1.569046497344970703e+01,5.059768259525299072e-02
1.763444748482530355e+09,1.281144809722900391e+01,1.567035484313964844e+01,4.701149463653564453e-02
1.763444748682581663e+09,1.279764366149902344e+01,1.563645553588867188e+01,4.877972602844238281e-02
1.763444748782593727e+09,1.279762268066406250e+01,1.562298965454101562e+01,5.004973337054252625e-02
1.763444748982472658e+09,1.277789306640625000e+01,1.558684253692626953e+01,3.474153578281402588e-02
1.763444749182566643e+09,1.276266574859619141e+01,1.557796478271484375e+01,3.937776759266853333e-02
1.763444749382553101e+09,1.274996948242187500e+01,1.557111167907714844e+01,5.335950106382369995e-02
1.763444749482556343e+09,1.274595642089843750e+01,1.557491588592529297e+01,4.215339943766593933e-02
1.763444749682652712e+09,1.276340103149414062e+01,1.559198379516601562e+01,5.305338278412818909e-02
1.763444749882595301e+09,1.274625968933105469e+01,1.560083293914794922e+01,4.858262464404106140e-02
1.763444750082502842e+09,1.278127193450927734e+01,1.565879535675048828e+01,5.141660571098327637e-02
1.763444750182587862e+09,1.280312728881835938e+01,1.567722988128662109e+01,4.362220689654350281e-02
1.763444750382556200e+09,1.280770206451416016e+01,1.572672367095947266e+01,3.462805598974227905e-02
1.763444750482566833e+09,1.283775424957275391e+01,1.573153591156005859e+01,4.456896707415580750e-02
1.763444750682586908e+09,1.285813617706298828e+01,1.580105972290039062e+01,5.844512581825256348e-02
1.763444750882664442e+09,1.285928630828857422e+01,1.583107566833496094e+01,3.176987543702125549e-02
1.763444751082560062e+09,1.287218475341796875e+01,1.584414768218994141e+01,3.991017863154411316e-02
1.763444751282558203e+09,1.292264652252197266e+01,1.585970306396484375e+01,4.670273140072822571e-02
1.763444751382606745e+09,1.293964958190917969e+01,1.586568737030029297e+01,4.956084117293357849e-02
1.763444751482609749e+09,1.296157169342041016e+01,1.586391544342041016e+01,4.304595291614532471e-02
1.763444751682452917e+09,1.301721668243408203e+01,1.586854362487792969e+01,5.546218156814575195e-02
1.763444751782569647e+09,1.304445934295654297e+01,1.587370681762695312e+01,4.682651907205581665e-02
1.763444751982561111e+09,1.311419486999511719e+01,1.587308120727539062e+01,5.797884613275527954e-02
1.763444752082639456e+09,1.313920593261718750e+01,1.585863113403320312e+01,5.414441972970962524e-02
1.763444752282556057e+09,1.316719722747802734e+01,1.586668109893798828e+01,5.062515661120414734e-02
1.763444752382587671e+09,1.318233299255371094e+01,1.586883354187011719e+01,4.986428469419479370e-02
1.763444752582543850e+09,1.317942142486572266e+01,1.586246299743652344e+01,5.348856747150421143e-02
1.763444752682577133e+09,1.316577911376953125e+01,1.586881828308105469e+01,4.669938236474990845e-02
1.763444752782621384e+09,1.317476558685302734e+01,1.586448860168457031e+01,5.113121122121810913e-02
1.763444752982653141e+09,1.315948772430419922e+01,1.587302207946777344e+01,4.797014966607093811e-02
1.763444753082686424e+09,1.317051219940185547e+01,1.586954593658447266e+01,5.767319351434707642e-02
1.763444753282503605e+09,1.315902996063232422e+01,1.587492561340332031e+01,4.797864332795143127e-02
1.763444753382613897e+09,1.316124725341796875e+01,1.587469100952148438e+01,5.762333795428276062e-02
1.763444753482618809e+09,1.316416549682617188e+01,1.587040233612060547e+01,5.936896428465843201e-02
1.763444753682615995e+09,1.316635513305664062e+01,1.587037754058837891e+01,5.682669207453727722e-02
1.763444753882637262e+09,1.316963672637939453e+01,1.587436580657958984e+01,5.692141875624656677e-02
1.763444754082568884e+09,1.316776561737060547e+01,1.586728286743164062e+01,4.856389015913009644e-02
1.763444754182624578e+09,1.316936779022216797e+01,1.586657619476318359e+01,5.548873171210289001e-02
1.763444754382594824e+09,1.316234302520751953e+01,1.587271499633789062e+01,5.428343638777732849e-02
1.763444754482630730e+09,1.315833282470703125e+01,1.586733245849609375e+01,5.440679937601089478e-02
1.763444754682498217e+09,1.315850162506103516e+01,1.587089443206787109e+01,5.190451443195343018e-02
1.763444754782588959e+09,1.315582084655761719e+01,1.587141609191894531e+01,6.185868382453918457e-02
1.763444754982603073e+09,1.314449691772460938e+01,1.587075519561767578e+01,5.930344387888908386e-02
1.763444755182435513e+09,1.314824962615966797e+01,1.586956882476806641e+01,5.437324196100234985e-02
1.763444755282581568e+09,1.314859867095947266e+01,1.586684608459472656e+01,6.159651279449462891e-02
1.763444755382600546e+09,1.315196514129638672e+01,1.585549068450927734e+01,6.178727373480796814e-02
1.763444755582615376e+09,1.315442085266113281e+01,1.585494136810302734e+01,6.842114031314849854e-02
1.763444755682644844e+09,1.316681194305419922e+01,1.585018253326416016e+01,6.850697845220565796e-02
1.763444755882494926e+09,1.320613384246826172e+01,1.585351085662841797e+01,6.540821492671966553e-02
