relative_time_s,latency_ms
7.507038116455078125e-02,-7.821798324584960938e+00
1.750702857971191406e-01,-7.061004638671875000e+00
2.750704288482666016e-01,-6.364822387695312500e+00
3.750703334808349609e-01,-4.862070083618164062e+00
4.750702381134033203e-01,-3.482341766357421875e+00
5.750703811645507812e-01,-2.668619155883789062e+00
6.750702857971191406e-01,-1.946687698364257812e+00
7.750704288482666016e-01,-1.292705535888671875e+00
8.750703334808349609e-01,-4.367828369140625000e-01
9.750702381134033203e-01,-9.841918945312500000e+00
1.075070381164550781e+00,1.139640808105468750e+00
1.175070285797119141e+00,-7.971048355102539062e+00
1.275070428848266602e+00,-7.205009460449218750e+00
1.375070333480834961e+00,-6.428241729736328125e+00
1.475070238113403320e+00,-5.750894546508789062e+00
1.575070381164550781e+00,-4.977226257324218750e+00
1.675070285797119141e+00,-4.110574722290039062e+00
1.775070428848266602e+00,-3.534078598022460938e+00
1.875070333480834961e+00,-2.828359603881835938e+00
1.975070238113403320e+00,-2.066612243652343750e+00
2.075070381164550781e+00,-1.384019851684570312e+00
2.175070285797119141e+00,-6.613731384277343750e-01
2.275070428848266602e+00,-1.006841659545898438e+01
2.375070333480834961e+00,-9.343385696411132812e+00
2.475070238113403320e+00,-7.072210311889648438e+00
2.575070381164550781e+00,-6.261110305786132812e+00
2.675070285797119141e+00,-5.085229873657226562e+00
2.775070428848266602e+00,-4.423856735229492188e+00
2.875070333480834961e+00,-3.841876983642578125e+00
2.975070238113403320e+00,-1.735687255859375000e+00
3.075070381164550781e+00,-8.282661437988281250e-01
3.175070285797119141e+00,-1.019430160522460938e+01
3.275070428848266602e+00,-8.849859237670898438e+00
3.375070333480834961e+00,-8.095741271972656250e+00
3.475070238113403320e+00,-7.206678390502929688e+00
3.575070381164550781e+00,-6.559133529663085938e+00
3.675070285797119141e+00,-5.744457244873046875e+00
3.775070428848266602e+00,-5.079030990600585938e+00
3.875070333480834961e+00,-4.490375518798828125e+00
3.975070238113403320e+00,-3.916740417480468750e+00
4.075070381164550781e+00,-3.255605697631835938e+00
4.175070285797119141e+00,-2.514123916625976562e+00
4.275070428848266602e+00,-1.597404479980468750e+00
4.375070333480834961e+00,-8.451938629150390625e-01
4.475070238113403320e+00,-1.016092300415039062e+01
4.575070381164550781e+00,5.757808685302734375e-01
4.675070285797119141e+00,-8.615493774414062500e+00
4.775070428848266602e+00,-8.001804351806640625e+00
4.875070333480834961e+00,-7.409095764160156250e+00
4.975070238113403320e+00,-6.862163543701171875e+00
5.075070381164550781e+00,-4.929065704345703125e+00
5.175070285797119141e+00,-4.324436187744140625e+00
5.275070428848266602e+00,-3.756284713745117188e+00
5.375070333480834961e+00,-2.928256988525390625e+00
5.475070238113403320e+00,-2.271175384521484375e+00
5.575070381164550781e+00,-1.170158386230468750e+00
5.675070285797119141e+00,-9.561061859130859375e+00
5.775070428848266602e+00,-8.951902389526367188e+00
5.875070333480834961e+00,-8.360385894775390625e+00
5.975070238113403320e+00,-7.671356201171875000e+00
6.075070381164550781e+00,-6.940126419067382812e+00
6.175070285797119141e+00,-6.229162216186523438e+00
6.275070428848266602e+00,-5.483627319335937500e+00
6.375070333480834961e+00,-4.861116409301757812e+00
6.475070238113403320e+00,-3.378868103027343750e+00
6.575070381164550781e+00,-2.648115158081054688e+00
6.675070285797119141e+00,-1.059985160827636719e+01
6.775070428848266602e+00,2.143383026123046875e-01
