t_rel,t,speed,yaw_target_deg,yaw_lidar_current_deg,err_current_deg,yaw_lidar_calib_deg,err_calib_deg
257.799311,1766377259.205711,0.533754,-73.229584,-114.104766,-40.875182,-73.210250,0.019333
257.901064,1766377259.307465,0.570980,-73.227878,-114.172680,-40.944802,-73.278165,-0.050287
258.200194,1766377259.606595,0.512800,-73.625308,-114.632773,-41.007465,-73.738257,-0.112949
259.599120,1766377261.005520,0.505811,-72.601011,-113.481567,-40.880555,-72.587051,0.013960
260.499422,1766377261.905823,0.552216,-73.950574,-114.674374,-40.723800,-73.779858,0.170716
265.400226,1766377266.806627,0.571089,-147.276643,172.093439,-40.629917,-147.012045,0.264598
265.499630,1766377266.906031,0.601910,-146.691704,172.731409,-40.576886,-146.374075,0.317629
265.600025,1766377267.006426,0.580685,-146.265795,173.104635,-40.629570,-146.000849,0.264946
265.699192,1766377267.105592,0.632638,-146.557115,172.876160,-40.566725,-146.229324,0.327791
265.799787,1766377267.206188,0.543990,-147.355695,172.047177,-40.597128,-147.058307,0.297388
266.000322,1766377267.406723,0.583750,-147.582920,171.759644,-40.657436,-147.345840,0.237079
266.099773,1766377267.506174,0.625121,-147.007295,172.345199,-40.647506,-146.760285,0.247010
266.199895,1766377267.606295,0.691504,-146.583002,172.785639,-40.631359,-146.319845,0.263157
266.300516,1766377267.706916,0.710136,-146.919703,172.490363,-40.589935,-146.615121,0.304581
266.399529,1766377267.805930,0.589166,-147.680201,171.691403,-40.628396,-147.414081,0.266120
266.499050,1766377267.905450,0.534368,-148.047387,171.335249,-40.617364,-147.770235,0.277152
266.598936,1766377268.005336,0.608146,-147.959379,171.326972,-40.713649,-147.778512,0.180867
266.699476,1766377268.105876,0.639671,-147.311585,172.090259,-40.598156,-147.015225,0.296360
266.806404,1766377268.212805,0.588824,-146.947442,172.480429,-40.572129,-146.625055,0.322387
266.899222,1766377268.305622,0.687941,-147.281698,172.144683,-40.573619,-146.960801,0.320896
267.002550,1766377268.408950,0.566634,-147.958388,171.439883,-40.601728,-147.665601,0.292788
267.100299,1766377268.506699,0.592034,-148.353216,171.044221,-40.602564,-148.061264,0.291952
267.201195,1766377268.607595,0.675570,-148.149166,171.197190,-40.653644,-147.908294,0.240872
267.299243,1766377268.705644,0.627551,-147.250510,172.146336,-40.603154,-146.959148,0.291362
267.399311,1766377268.805711,0.546127,-146.932323,172.457564,-40.610113,-146.647920,0.284403
267.499918,1766377268.906319,0.639209,-147.156091,172.266760,-40.577148,-146.838724,0.317367
267.600219,1766377269.006619,0.614386,-147.771905,171.644053,-40.584042,-147.461431,0.310474
267.699371,1766377269.105771,0.550345,-148.154387,171.253039,-40.592574,-147.852445,0.301942
267.800061,1766377269.206461,0.585016,-147.692346,171.642769,-40.664885,-147.462715,0.229631
267.900129,1766377269.306529,0.555118,-146.882600,172.514100,-40.603299,-146.591384,0.291216
267.999591,1766377269.405992,0.599228,-146.551265,172.830100,-40.618635,-146.275384,0.275881
268.100428,1766377269.506829,0.703476,-146.906835,172.532686,-40.560479,-146.572799,0.334037
268.200110,1766377269.606511,0.613520,-147.674504,171.767859,-40.557637,-147.337625,0.336879
268.299958,1766377269.706358,0.551542,-148.165490,171.259900,-40.574611,-147.845585,0.319905
268.399159,1766377269.805560,0.627301,-147.854439,171.511630,-40.633931,-147.593855,0.260584
268.499047,1766377269.905448,0.567063,-147.279727,172.133197,-40.587076,-146.972287,0.307440
268.599209,1766377270.005609,0.535391,-146.899315,172.495090,-40.605595,-146.610395,0.288921
268.699679,1766377270.106080,0.578212,-147.258541,172.187725,-40.553735,-146.917760,0.340781
270.699291,1766377272.105691,0.562469,-147.112601,172.282744,-40.604655,-146.822741,0.289861
270.799097,1766377272.205497,0.701214,-146.909945,172.447029,-40.643026,-146.658456,0.251490
270.899287,1766377272.305688,0.680707,-146.386051,173.044772,-40.569177,-146.060712,0.325339
270.999273,1766377272.405674,0.639368,-146.020959,173.395172,-40.583869,-145.710312,0.310647
271.099915,1766377272.506315,0.715464,-146.496868,172.968586,-40.534546,-146.136898,0.359970
271.199210,1766377272.605611,0.622820,-147.289763,172.133624,-40.576614,-146.971861,0.317902
271.298974,1766377272.705374,0.576677,-147.599165,171.845061,-40.555774,-147.260423,0.338742
271.399157,1766377272.805557,0.657267,-147.060672,172.297806,-40.641522,-146.807678,0.252993
271.499589,1766377272.905990,0.597975,-146.264272,173.124578,-40.611150,-145.980906,0.283365
271.599713,1766377273.006114,0.569533,-145.716948,173.661729,-40.621323,-145.443755,0.273192
271.699424,1766377273.105824,0.704288,-146.068945,173.345084,-40.585971,-145.760400,0.308545
271.799470,1766377273.205870,0.643766,-146.732277,172.667039,-40.600683,-146.438445,0.293832
271.900165,1766377273.306565,0.621100,-147.062903,172.352102,-40.584995,-146.753383,0.309521
271.999175,1766377273.405576,0.657991,-146.898506,172.439815,-40.661679,-146.665670,0.232836
272.099427,1766377273.505828,0.623412,-146.022323,173.448304,-40.529373,-145.657180,0.365143
272.202081,1766377273.608481,0.523094,-145.516525,173.932996,-40.550479,-145.172488,0.344037
272.299169,1766377273.705569,0.634599,-144.259151,175.134252,-40.606598,-143.971233,0.287918
272.399920,1766377273.806320,0.591825,-142.401867,177.003913,-40.594221,-142.101572,0.300295
272.499263,1766377273.905664,0.554457,-140.198778,179.203191,-40.598031,-139.902293,0.296484
272.600498,1766377274.006899,0.575786,-136.948631,-177.579593,-40.630963,-136.685078,0.263553
272.700573,1766377274.106973,0.608666,-133.293271,-173.975724,-40.682453,-133.081208,0.212063
272.799672,1766377274.206072,0.600348,-130.007861,-170.663741,-40.655880,-129.769225,0.238636
