t_rel,t,speed,yaw_target_deg,yaw_lidar_current_deg,err_current_deg,yaw_lidar_calib_deg,err_calib_deg
257.799311,1766377259.205711,0.533754,106.150135,-73.383882,-179.534018,-70.639628,-176.789764
257.901064,1766377259.307465,0.570980,97.516442,-73.466838,-170.983280,-70.722584,-168.239026
258.200194,1766377259.606595,0.512800,119.291362,-74.037919,166.670718,-71.293665,169.414972
259.599120,1766377261.005520,0.505811,91.947306,-72.628886,-164.576192,-69.884632,-161.831938
260.499422,1766377261.905823,0.552216,110.734451,-73.783850,175.481699,-71.039596,178.225953
265.400226,1766377266.806627,0.571089,-136.194953,-147.002125,-10.807171,-144.257871,-8.062917
265.499630,1766377266.906031,0.601910,-139.949210,-146.373025,-6.423816,-143.628771,-3.679562
265.600025,1766377267.006426,0.580685,-138.407270,-146.000217,-7.592948,-143.255963,-4.848694
265.699192,1766377267.105592,0.632638,-146.309932,-146.228619,0.081314,-143.484365,2.825568
265.799787,1766377267.206188,0.543990,-145.874342,-147.055385,-1.181044,-144.311131,1.563210
266.000322,1766377267.406723,0.583750,-151.475022,-147.348737,4.126285,-144.604483,6.870539
266.099773,1766377267.506174,0.625121,-152.610606,-146.755969,5.854637,-144.011715,8.598891
266.199895,1766377267.606295,0.691504,-151.250842,-146.318252,4.932590,-143.573998,7.676844
266.300516,1766377267.706916,0.710136,-148.156109,-146.608998,1.547111,-143.864744,4.291365
266.399529,1766377267.805930,0.589166,-140.634577,-147.414144,-6.779568,-144.669890,-4.035314
266.499050,1766377267.905450,0.534368,-142.871530,-147.771106,-4.899577,-145.026852,-2.155323
266.598936,1766377268.005336,0.608146,-147.094757,-147.780504,-0.685747,-145.036250,2.058507
266.699476,1766377268.105876,0.639671,-153.992748,-147.009350,6.983398,-144.265096,9.727652
266.806404,1766377268.212805,0.588824,-157.100133,-146.623711,10.476422,-143.879457,13.220676
266.899222,1766377268.305622,0.687941,-145.463749,-146.961903,-1.498155,-144.217649,1.246099
267.002550,1766377268.408950,0.566634,-135.276789,-147.663976,-12.387187,-144.919722,-9.642933
267.100299,1766377268.506699,0.592034,-133.179476,-148.054986,-14.875510,-145.310732,-12.131256
267.201195,1766377268.607595,0.675570,-137.556680,-147.896876,-10.340196,-145.152622,-7.595942
267.299243,1766377268.705644,0.627551,-144.191704,-146.958927,-2.767224,-144.214673,-0.022969
267.399311,1766377268.805711,0.546127,-142.060649,-146.649215,-4.588565,-143.904961,-1.844311
267.499918,1766377268.906319,0.639209,-139.224760,-146.833709,-7.608949,-144.089455,-4.864695
267.600219,1766377269.006619,0.614386,-136.906962,-147.436355,-10.529393,-144.692101,-7.785139
267.699371,1766377269.105771,0.550345,-137.450853,-147.820018,-10.369165,-145.075764,-7.624911
267.800061,1766377269.206461,0.585016,-143.908265,-147.432085,-3.523820,-144.687831,-0.779566
267.900129,1766377269.306529,0.555118,-149.372337,-146.587582,2.784755,-143.843328,5.529009
267.999591,1766377269.405992,0.599228,-149.778162,-146.270791,3.507370,-143.526537,6.251624
268.100428,1766377269.506829,0.703476,-148.371332,-146.567024,1.804307,-143.822770,4.548561
268.200110,1766377269.606511,0.613520,-146.673710,-147.327975,-0.654265,-144.583721,2.089989
268.299958,1766377269.706358,0.551542,-148.590163,-147.826373,0.763790,-145.082119,3.508044
268.399159,1766377269.805560,0.627301,-151.911265,-147.581970,4.329295,-144.837716,7.073549
268.499047,1766377269.905448,0.567063,-155.154211,-146.973104,8.181107,-144.228850,10.925361
268.599209,1766377270.005609,0.535391,-156.829468,-146.610890,10.218578,-143.866636,12.962832
268.699679,1766377270.106080,0.578212,-151.184885,-146.915544,4.269341,-144.171290,7.013595
270.699291,1766377272.105691,0.562469,-143.455990,-146.818572,-3.362582,-144.074318,-0.618328
270.799097,1766377272.205497,0.701214,-143.834188,-146.656021,-2.821833,-143.911767,-0.077579
270.899287,1766377272.305688,0.680707,-147.941186,-146.063367,1.877819,-143.319113,4.622073
270.999273,1766377272.405674,0.639368,-150.066134,-145.718918,4.347216,-142.974664,7.091470
271.099915,1766377272.506315,0.715464,-147.016162,-146.135390,0.880772,-143.391136,3.625026
271.199210,1766377272.605611,0.622820,-142.555681,-146.971204,-4.415522,-144.226950,-1.671268
271.298974,1766377272.705374,0.576677,-144.265510,-147.260110,-2.994600,-144.515856,-0.250346
271.399157,1766377272.805557,0.657267,-146.961541,-146.805571,0.155971,-144.061316,2.900225
271.499589,1766377272.905990,0.597975,-151.343856,-145.956625,5.387231,-143.212371,8.131485
271.599713,1766377273.006114,0.569533,-152.760912,-145.414798,7.346114,-142.670544,10.090368
271.699424,1766377273.105824,0.704288,-146.264675,-145.745658,0.519017,-143.001404,3.263271
271.799470,1766377273.205870,0.643766,-141.493017,-146.440060,-4.947043,-143.695806,-2.202789
271.900165,1766377273.306565,0.621100,-138.305597,-146.754023,-8.448426,-144.009769,-5.704172
271.999175,1766377273.405576,0.657991,-142.233005,-146.663526,-4.430521,-143.919272,-1.686267
272.099427,1766377273.505828,0.623412,-132.471026,-145.657237,-13.186211,-142.912983,-10.441957
272.202081,1766377273.608481,0.523094,-131.527206,-145.172440,-13.645234,-142.428186,-10.900980
272.299169,1766377273.705569,0.634599,-131.842055,-143.966939,-12.124884,-141.222685,-9.380630
272.399920,1766377273.806320,0.591825,-129.965512,-142.099720,-12.134208,-139.355466,-9.389954
